runparse.pl filename startdate enddate
startdate 19700000
enddate 21000000
19910904 | 0:28:15 |   7.0 | 4:02 |     |     |     ride1| grandview + 2 loops  
19910905 | 0:24:07 |   6.0 | 4:01 |     |     |     ride1| loop at home  
19910909 | 0:42:49 |  10.0 | 4:16 |     |     |     ride1| out front,mood,path,carling,park,loop,front  
19910910 | 0:29:06 |   7.3 | 3:59 |     |     |     ride1| grandview through bush + 2 loops  
19910911 | 0:28:28 |   7.3 | 3:53 |     |     |     ride1| meriline through experimental farm  
19910912 | 0:37:44 |   9.5 | 3:58 |     |     |     ride1| *mood,path carling,park,loop,front s*  
19910913 | 0:30:57 |   7.0 | 4:25 |     |     |     ride1| grandview + 2 loops  
19910916 | 0:39:33 |   9.5 | 4:09 |     |     |     ride1| mood,path carling,park,loop,front  
19910917 | 0:29:22 |   7.0 | 4:11 |     |     |     ride1| grandview + 2 loops  
19910918 | 0:42:29 |  10.5 | 4:02 |     |     |     ride1| mood,path behind equestrian park  
19910919 | 0:58:44 |  13.0 | 4:31 |     |     |     ride1| equestrian park and corkstown TOTAL 758.4  
Total for ride1 is 754.9
NEW asics
19910924 | 0:40:00 |   6.0 | 6:40 |     |     |     asics| intervals  8x.5k 1:34 pace + 2k  
19910925 | 0:39:55 |   9.5 | 4:12 |     |     |     asics| mood,path carling,park,loop,front  
19910926 | 0:53:00 |   9.0 | 5:53 |     |     |     asics| grandview + 3x5x200m @ 35-38secs  
19910927 | 0:16:46 |   4.3 | 3:53 |     |     |     asics| home to bridlewood  
19910928 | 0:19:26 |   5.0 | 3:53 |     |     |     asics| RACE - OAC relay  
19910930 | 0:55:19 |  13.0 | 4:15 |     |     |     asics| equestrian park and corkstown  
19911001 | 0:41:42 |   9.5 | 4:23 |     |     |     asics| mood,path carling,park,loop,front  
19911002 | 0:40:00 |   7.0 | 5:42 |     |     |     asics| intervals 4x1 k 3:24 pace  
19911003 | 0:38:31 |   9.5 | 4:03 |     |     |     asics| mood,path carling,park,loop,front  
19911004 | 0:27:40 |   7.0 | 3:57 |     |     |     asics| grandview + 2 loops  
19911007 | 0:41:38 |  10.3 | 4:02 |     |     |     asics| mood,path carling,path,park,loop,front  
19911008 | 0:40:00 |   7.0 | 5:42 |     |     |     asics| intervals 4x1 k 3:24 pace  
19911010 | 0:29:08 |   7.0 | 4:09 |     |     |     asics| castlefrank,katimivik,path,castlefrank  
19911011 | 0:39:48 |   9.5 | 4:11 |     |     |     asics| mood,path carling,park,loop,front  
19911013 | 1:05:00 |  15.5 | 4:11 |     |     |     asics| loop at home  
19911014 | 0:23:25 |   6.0 | 3:54 |     |     |     asics| loop at home  
19911016 | 0:42:51 |  11.0 | 3:53 |     |     |     asics| loop at home *  
19911017 | 0:40:50 |   9.5 | 4:17 |     |     |     asics| mood,path carling,park,loop,front  
19911020 | 0:39:26 |  10.0 | 3:56 |     |     |     asics| Run for the Animals - 10 k - arboretum  
19911022 | 0:27:52 |   7.0 | 3:58 |     |     |     asics| grandview + 2 loops  
19911023 | 0:28:24 |   7.4 | 3:50 |     |     |     asics| meriline through experimental farm  
19911024 | 0:30:04 |   7.4 | 4:03 |     |     |     asics| meriline through experimental farm  
19911026 | 1:15:24 |  18.0 | 4:11 |     |     |     asics| loop at home *  
19911027 | 0:39:43 |  10.0 | 3:58 |     |     |     asics| at home  
19911028 | 0:32:07 |   7.4 | 4:20 |     |     |     asics| meriline through experimental farm  
19911029 | 1:06:50 |  15.5 | 4:18 |     |     |     asics| loop at home - very cold  
19911030 | 0:30:42 |   7.0 | 4:23 |     |     |     asics| grandview + 2 loops  
19911031 | 0:37:45 |   9.5 | 3:58 |     |     |     asics| mood,path carling,park,loop,front  
19911103 | 0:45:53 |  10.6 | 4:19 |     |     |     asics| abbeyhill,eagleson,katimivik,o-pass,terryfox  
19911104 | 0:38:25 |   9.5 | 4:02 |     |     |     asics| mood,path carling,park,loop,front  
19911105 | 0:39:39 |  10.0 | 3:57 |     |     |     asics| mood,path behind equestrian park  
19911106 | 0:28:05 |   7.0 | 4:00 |     |     |     asics| grandview + 2 loops  
